genome	count	k	order	type	tree_k	dataset	runs_type	n_runs	baseline	rel
diverse	8	31	optimal	unitig	single	diverse unitig k31 n8	indiv_rows	35389783	35735634	0.9903219570695178
diverse	8	31	optimal	unitig	single	diverse unitig k31 n8	cylinder	1514260	1516394	0.9985927140307862
diverse	1000	6	optimal	kmer	single	diverse kmer k6 n1000	matrix	44	102	0.43137254901960786
diverse	1000	6	optimal	kmer	single	diverse kmer k6 n1000	indiv_rows	2124	2182	0.9734188817598534
diverse	1000	6	optimal	kmer	single	diverse kmer k6 n1000	cylinder	56	102	0.5490196078431373
diverse	1000	6	optimal	unique	single	diverse unique k6 n1000	matrix	35	86	0.4069767441860465
diverse	1000	6	optimal	unique	single	diverse unique k6 n1000	indiv_rows	55	106	0.5188679245283019
diverse	1000	6	optimal	unique	single	diverse unique k6 n1000	cylinder	40	86	0.46511627906976744
diverse	1000	6	optimal	unitig	single	diverse unitig k6 n1000	matrix	44	102	0.43137254901960786
diverse	1000	6	optimal	unitig	single	diverse unitig k6 n1000	indiv_rows	2124	2182	0.9734188817598534
diverse	1000	6	optimal	unitig	single	diverse unitig k6 n1000	cylinder	56	102	0.5490196078431373
diverse	1000	8	optimal	kmer	single	diverse kmer k8 n1000	matrix	229967	397085	0.5791379679413727
diverse	1000	8	optimal	kmer	single	diverse kmer k8 n1000	indiv_rows	262863	429981	0.6113363148604241
diverse	1000	8	optimal	kmer	single	diverse kmer k8 n1000	cylinder	239738	397108	0.6037098220131552
diverse	1000	8	optimal	unique	single	diverse unique k8 n1000	matrix	212306	374012	0.5676448883993027
diverse	1000	8	optimal	unique	single	diverse unique k8 n1000	indiv_rows	226855	388561	0.58383368377166
diverse	1000	8	optimal	unique	single	diverse unique k8 n1000	cylinder	216012	376012	0.5744816654787613
diverse	1000	8	optimal	unitig	single	diverse unitig k8 n1000	matrix	229967	394160	0.5834356606454232
diverse	1000	8	optimal	unitig	single	diverse unitig k8 n1000	indiv_rows	262863	427056	0.6155234910644037
diverse	1000	8	optimal	unitig	single	diverse unitig k8 n1000	cylinder	239738	394230	0.6081170890089541
diverse	1000	10	randomized	kmer	single	diverse kmer k10 n1000	matrix	140173679	140173679	1
diverse	1000	10	randomized	kmer	single	diverse kmer k10 n1000	indiv_rows	140698479	140698479	1
diverse	1000	10	randomized	kmer	single	diverse kmer k10 n1000	cylinder	140327876	140327876	1
