experiment	run	real_s	real_s_py	user_s	sys_s	percent_cpu	max_ram_kb	fs_inputs	fs_outputs	exit_code	command	max_ram_kb_alt
attotree_gisp_upgma_N1102	None	13.30	13.309613	96.49	1.44	None	150454	None	None	0	attotree -t 8 -m upgma -L 03_selection/gisp.N1102.txt -V > 09_trees/gisp_upgma_N1102.nw	1327
tree_order_gisp_nj_k31_N1102_kmer	None	0.02	0.035691	0.01	0.00	None	12255	None	None	0	./_tree_leaf_order.py 09_trees/gisp_nj_N1102.nw > 10_orders/gisp_nj_k31_N1102_kmer.txt	1278
tree_order_gisp_nj_k31_N1102_uniqrow	None	0.04	0.055873	0.02	0.01	None	12681	None	None	0	./_tree_leaf_order.py 09_trees/gisp_nj_N1102.nw > 10_orders/gisp_nj_k31_N1102_uniqrow.txt	1311
tree_order_gisp_nj_k31_N1102_unitig	None	0.03	0.037375	0.01	0.00	None	12648	None	None	0	./_tree_leaf_order.py 09_trees/gisp_nj_N1102.nw > 10_orders/gisp_nj_k31_N1102_unitig.txt	1295
tsp_order_gisp_optimal_k31_N1102_kmer	None	0.07	0.085622	0.05	0.01	None	20447	None	None	0	./_extract_path_from_tsp_solution.py 08_tsp/gisp_optimal_k31_N1102_kmer/instance.tsp 08_tsp/gisp_optimal_k31_N1102_kmer/instance.sol > 10_orders/gisp_optimal_k31_N1102_kmer.txt	1327
tsp_order_gisp_optimal_k31_N1102_uniqrow	None	0.08	0.085931	0.05	0.01	None	20267	None	None	0	./_extract_path_from_tsp_solution.py 08_tsp/gisp_optimal_k31_N1102_uniqrow/instance.tsp 08_tsp/gisp_optimal_k31_N1102_uniqrow/instance.sol > 10_orders/gisp_optimal_k31_N1102_uniqrow.txt	1327
tsp_order_gisp_optimal_k31_N1102_unitig	None	0.08	0.087408	0.05	0.01	None	20562	None	None	0	./_extract_path_from_tsp_solution.py 08_tsp/gisp_optimal_k31_N1102_unitig/instance.tsp 08_tsp/gisp_optimal_k31_N1102_unitig/instance.sol > 10_orders/gisp_optimal_k31_N1102_unitig.txt	1311
tree_order_gisp_upgma_k31_N1102_kmer	None	0.03	0.040421	0.01	0.01	None	12190	None	None	0	./_tree_leaf_order.py 09_trees/gisp_upgma_N1102.nw > 10_orders/gisp_upgma_k31_N1102_kmer.txt	1295
tree_order_gisp_upgma_k31_N1102_uniqrow	None	0.03	0.040468	0.01	0.01	None	12632	None	None	0	./_tree_leaf_order.py 09_trees/gisp_upgma_N1102.nw > 10_orders/gisp_upgma_k31_N1102_uniqrow.txt	1295
tree_order_gisp_upgma_k31_N1102_unitig	None	0.03	0.040416	0.01	0.01	None	12550	None	None	0	./_tree_leaf_order.py 09_trees/gisp_upgma_N1102.nw > 10_orders/gisp_upgma_k31_N1102_unitig.txt	1295
tsp_order_gisp_worst_k31_N1102_kmer	None	0.09	0.100167	0.05	0.01	None	19923	None	None	0	./_extract_path_from_tsp_solution.py 08_tsp/gisp_worst_k31_N1102_kmer/instance.tsp 08_tsp/gisp_worst_k31_N1102_kmer/instance.sol > 10_orders/gisp_worst_k31_N1102_kmer.txt	1311
tsp_order_gisp_worst_k31_N1102_uniqrow	None	0.09	0.104032	0.05	0.01	None	20595	None	None	0	./_extract_path_from_tsp_solution.py 08_tsp/gisp_worst_k31_N1102_uniqrow/instance.tsp 08_tsp/gisp_worst_k31_N1102_uniqrow/instance.sol > 10_orders/gisp_worst_k31_N1102_uniqrow.txt	1327
tsp_order_gisp_worst_k31_N1102_unitig	None	0.08	0.09237	0.05	0.01	None	19956	None	None	0	./_extract_path_from_tsp_solution.py 08_tsp/gisp_worst_k31_N1102_unitig/instance.tsp 08_tsp/gisp_worst_k31_N1102_unitig/instance.sol > 10_orders/gisp_worst_k31_N1102_unitig.txt	1311
final_runs_gisp_nj_k31_N1102_kmer	None	7.86	7.87122	6.75	0.19	None	118456	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_kmer.dists.txt.xz 10_orders/gisp_nj_k31_N1102_kmer.txt --num-rows $( if [ 'kmer' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'kmer' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'kmer' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_nj_k31_N1102_kmer.runs	1327
final_runs_gisp_nj_k31_N1102_uniqrow	None	8.02	8.044669	6.70	0.18	None	115737	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_uniqrow.dists.txt.xz 10_orders/gisp_nj_k31_N1102_uniqrow.txt --num-rows $( if [ 'uniqrow' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'uniqrow' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'uniqrow' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_nj_k31_N1102_uniqrow.runs	1344
final_runs_gisp_nj_k31_N1102_unitig	None	7.56	7.58541	6.63	0.18	None	121946	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_unitig.dists.txt.xz 10_orders/gisp_nj_k31_N1102_unitig.txt --num-rows $( if [ 'unitig' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'unitig' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'unitig' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_nj_k31_N1102_unitig.runs	1311
final_runs_gisp_optimal_k31_N1102_kmer	None	5.93	5.9418	5.98	0.09	None	151814	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_kmer.dists.txt.xz 10_orders/gisp_optimal_k31_N1102_kmer.txt --num-rows $( if [ 'kmer' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'kmer' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'kmer' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_optimal_k31_N1102_kmer.runs	1327
final_runs_gisp_optimal_k31_N1102_uniqrow	None	5.95	5.964257	5.96	0.08	None	152158	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_uniqrow.dists.txt.xz 10_orders/gisp_optimal_k31_N1102_uniqrow.txt --num-rows $( if [ 'uniqrow' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'uniqrow' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'uniqrow' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_optimal_k31_N1102_uniqrow.runs	1311
final_runs_gisp_optimal_k31_N1102_unitig	None	6.01	6.017866	6.05	0.08	None	151011	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_unitig.dists.txt.xz 10_orders/gisp_optimal_k31_N1102_unitig.txt --num-rows $( if [ 'unitig' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'unitig' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'unitig' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_optimal_k31_N1102_unitig.runs	1311
final_runs_gisp_randomized_k31_N1102_kmer	None	7.98	8.006818	6.82	0.19	None	118161	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_kmer.dists.txt.xz 10_orders/gisp_randomized_k31_N1102_kmer.txt --num-rows $( if [ 'kmer' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'kmer' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'kmer' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_randomized_k31_N1102_kmer.runs	1327
final_runs_gisp_randomized_k31_N1102_uniqrow	None	7.78	7.799054	6.66	0.19	None	120553	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_uniqrow.dists.txt.xz 10_orders/gisp_randomized_k31_N1102_uniqrow.txt --num-rows $( if [ 'uniqrow' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'uniqrow' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'uniqrow' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_randomized_k31_N1102_uniqrow.runs	1327
final_runs_gisp_randomized_k31_N1102_unitig	None	7.82	7.839315	6.66	0.19	None	123699	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_unitig.dists.txt.xz 10_orders/gisp_randomized_k31_N1102_unitig.txt --num-rows $( if [ 'unitig' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'unitig' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'unitig' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_randomized_k31_N1102_unitig.runs	1360
final_runs_gisp_upgma_k31_N1102_kmer	None	7.62	7.637087	6.75	0.19	None	121356	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_kmer.dists.txt.xz 10_orders/gisp_upgma_k31_N1102_kmer.txt --num-rows $( if [ 'kmer' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'kmer' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'kmer' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_upgma_k31_N1102_kmer.runs	1327
final_runs_gisp_upgma_k31_N1102_uniqrow	None	8.16	8.17376	6.90	0.19	None	119620	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_uniqrow.dists.txt.xz 10_orders/gisp_upgma_k31_N1102_uniqrow.txt --num-rows $( if [ 'uniqrow' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'uniqrow' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'uniqrow' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_upgma_k31_N1102_uniqrow.runs	1327
final_runs_gisp_upgma_k31_N1102_unitig	None	5.98	6.000159	6.02	0.09	None	152764	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_unitig.dists.txt.xz 10_orders/gisp_upgma_k31_N1102_unitig.txt --num-rows $( if [ 'unitig' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'unitig' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'unitig' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_upgma_k31_N1102_unitig.runs	1311
final_runs_gisp_worst_k31_N1102_kmer	None	5.87	5.876482	5.90	0.08	None	150585	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_kmer.dists.txt.xz 10_orders/gisp_worst_k31_N1102_kmer.txt --num-rows $( if [ 'kmer' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'kmer' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'kmer' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_worst_k31_N1102_kmer.runs	1311
final_runs_gisp_worst_k31_N1102_uniqrow	None	6.16	6.172485	6.13	0.09	None	150847	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_uniqrow.dists.txt.xz 10_orders/gisp_worst_k31_N1102_uniqrow.txt --num-rows $( if [ 'uniqrow' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'uniqrow' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'uniqrow' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_worst_k31_N1102_uniqrow.runs	1311
final_runs_gisp_worst_k31_N1102_unitig	None	5.64	5.652063	5.64	0.08	None	150340	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_unitig.dists.txt.xz 10_orders/gisp_worst_k31_N1102_unitig.txt --num-rows $( if [ 'unitig' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'unitig' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'unitig' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_worst_k31_N1102_unitig.runs	1311
