experiment	run	real_s	real_s_py	user_s	sys_s	percent_cpu	max_ram_kb	fs_inputs	fs_outputs	exit_code	command	max_ram_kb_alt
fulgor_index_gisp_k31	None	20.31	20.322504	152.29	4.13	None	1833419	None	None	0	fulgor build -l 01_datasets/gisp.txt -o 04_indices/gisp_k31 -k 31 -m 20 -d 04_indices/gisp_k31_tmp -g 12 -t 8 --verbose --check	1327
fulgor_dump_gisp_k31	None	3.21	3.220445	2.61	0.26	None	15991	None	None	0	fulgor dump -i 04_indices/gisp_k31.fur	1327
build_dists_gisp_k31	None	15.00	15.013848	28.94	0.17	None	419594	None	None	0	./_build_dists 05_dumps gisp 31 07_ham_dists 10	1295
tsp_export_gisp_k31_N1102_kmer	None	14.62	14.639044	14.77	0.22	None	317440	None	None	0	./_export_tsp_instance.py 07_ham_dists/gisp_k31_kmer.dists.txt.xz 03_selection/gisp.N1102.txt -o 08_tsp/gisp_optimal_k31_N1102_kmer/instance.tsp -w 08_tsp/gisp_worst_k31_N1102_kmer/instance.tsp	1311
tsp_export_gisp_k31_N1102_uniqrow	None	16.97	16.988564	15.65	0.30	None	308478	None	None	0	./_export_tsp_instance.py 07_ham_dists/gisp_k31_uniqrow.dists.txt.xz 03_selection/gisp.N1102.txt -o 08_tsp/gisp_optimal_k31_N1102_uniqrow/instance.tsp -w 08_tsp/gisp_worst_k31_N1102_uniqrow/instance.tsp	1311
tsp_export_gisp_k31_N1102_unitig	None	16.90	16.909768	15.70	0.31	None	305594	None	None	0	./_export_tsp_instance.py 07_ham_dists/gisp_k31_unitig.dists.txt.xz 03_selection/gisp.N1102.txt -o 08_tsp/gisp_optimal_k31_N1102_unitig/instance.tsp -w 08_tsp/gisp_worst_k31_N1102_unitig/instance.tsp	1327
concorde_optimal_N1102_kmer	None	8.48	8.490897	8.17	0.30	None	39715	None	None	0	'/Users/karel/git/ism-supplement/bin/concorde' -o instance.sol instance.tsp 2>&1 | tee log.txt	1295
concorde_optimal_N1102_uniqrow	None	6.57	6.584516	6.33	0.23	None	34685	None	None	0	'/Users/karel/git/ism-supplement/bin/concorde' -o instance.sol instance.tsp 2>&1 | tee log.txt	1295
concorde_optimal_N1102_unitig	None	26.13	26.140412	25.19	0.86	None	38896	None	None	0	'/Users/karel/git/ism-supplement/bin/concorde' -o instance.sol instance.tsp 2>&1 | tee log.txt	1295
concorde_worst_N1102_kmer	None	182.31	182.3202	181.56	0.26	None	37388	None	None	0	'/Users/karel/git/ism-supplement/bin/concorde' -o instance.sol instance.tsp 2>&1 | tee log.txt	1295
concorde_worst_N1102_uniqrow	None	151.56	151.569183	151.00	0.19	None	35357	None	None	0	'/Users/karel/git/ism-supplement/bin/concorde' -o instance.sol instance.tsp 2>&1 | tee log.txt	1295
concorde_worst_N1102_unitig	None	243.57	243.586274	242.66	0.41	None	51773	None	None	0	'/Users/karel/git/ism-supplement/bin/concorde' -o instance.sol instance.tsp 2>&1 | tee log.txt	1295
attotree_gisp_nj_N1102	None	14.15	14.167502	98.41	1.56	None	131514	None	None	0	attotree -t 8 -m nj -L 03_selection/gisp.N1102.txt -V > 09_trees/gisp_nj_N1102.nw	1311
