dataset	method	k	N	type	n_bit_changes	n_runs	n_cylinder_runs
diverse	optimal	31	100	uniqrow	1831506	3282712	1952654
diverse	optimal	31	100	unitig	15100640	49460785	16189584
diverse	optimal	31	10	kmer	73202154	3082269897	83915252
diverse	optimal	31	10	uniqrow	161583	1612789	245548
diverse	optimal	31	10	unitig	1124322	35484467	1651410
diverse	optimal	31	158	kmer	1185328777	4194396520	1204120468
diverse	optimal	31	158	uniqrow	2653812	4105018	2774960
diverse	optimal	31	158	unitig	21331284	55691429	22420228
diverse	optimal	31	16	kmer	134127320	3143195063	147511508
diverse	optimal	31	16	uniqrow	310782	1761988	431930
diverse	optimal	31	16	unitig	2258365	36618510	3110714
diverse	optimal	31	1	kmer	0	3009067743	0
diverse	optimal	31	1	uniqrow	0	1451206	0
diverse	optimal	31	1	unitig	0	34360145	0
diverse	optimal	31	251	kmer	1858979401	4868047144	1881103664
diverse	optimal	31	251	uniqrow	4101217	5552423	4222126
diverse	optimal	31	251	unitig	34977386	69337531	36066330
diverse	optimal	31	25	kmer	210306697	3219374440	226974902
diverse	optimal	31	25	uniqrow	510856	1962062	632004
diverse	optimal	31	25	unitig	4086773	38446918	5068426
diverse	optimal	31	2	kmer	6545478	3015613221	13090956
diverse	optimal	31	2	uniqrow	64094	1515300	128188
diverse	optimal	31	2	unitig	379326	34739471	758652
diverse	optimal	31	398	kmer	2783731241	5792798984	2805855504
diverse	optimal	31	398	uniqrow	5679005	7130211	5799662
diverse	optimal	31	398	unitig	48781094	83141239	49870038
diverse	optimal	31	3	kmer	12261387	3021329130	21029518
diverse	optimal	31	3	uniqrow	65668	1516874	129988
diverse	optimal	31	3	unitig	431260	34791405	816542
diverse	optimal	31	40	kmer	323325709	3332393452	339993914
diverse	optimal	31	40	uniqrow	883694	2334900	1004842
diverse	optimal	31	40	unitig	6575665	40935810	7557318
diverse	optimal	31	4	kmer	20593348	3029661091	29756026
diverse	optimal	31	4	uniqrow	66988	1518194	131308
diverse	optimal	31	4	unitig	445220	34805365	830502
diverse	optimal	31	631	kmer	4174047440	7183115183	4196770458
diverse	optimal	31	631	uniqrow	7887698	9338904	8005998
diverse	optimal	31	631	unitig	69196822	103556967	70285766
diverse	optimal	31	63	kmer	490430535	3499498278	507786496
diverse	optimal	31	63	uniqrow	1237460	2688666	1358608
diverse	optimal	31	63	unitig	9585057	43945202	10566710
diverse	optimal	31	6	kmer	36688917	3045756660	45898934
diverse	optimal	31	6	uniqrow	72154	1523360	138018
diverse	optimal	31	6	unitig	515654	34875799	900936
diverse	randomized	31	1000	kmer	8275400058	11284467801	8288745834
diverse	randomized	31	1000	uniqrow	27226329	28677535	27245048
diverse	randomized	31	1000	unitig	193190590	227550735	193297586
diverse	randomized	31	100	kmer	808604562	3817672305	816656888
diverse	randomized	31	100	uniqrow	2798697	4249903	2802858
diverse	randomized	31	100	unitig	20000500	54360645	20029852
diverse	randomized	31	10	kmer	75152301	3084220044	83920432
diverse	randomized	31	10	uniqrow	182924	1634130	247244
diverse	randomized	31	10	unitig	1268160	35628305	1653442
diverse	randomized	31	158	kmer	1281153731	4290221474	1289594096
diverse	randomized	31	158	uniqrow	4274055	5725261	4334426
diverse	randomized	31	158	unitig	28596394	62956539	28938340
diverse	randomized	31	16	kmer	137554738	3146622481	147554586
diverse	randomized	31	16	uniqrow	383498	1834704	443406
diverse	randomized	31	16	unitig	2612461	36972606	3124130
diverse	randomized	31	1	kmer	0	3009067743	0
diverse	randomized	31	1	uniqrow	0	1451206	0
diverse	randomized	31	1	unitig	0	34360145	0
diverse	randomized	31	251	kmer	2044402645	5053470388	2050237308
diverse	randomized	31	251	uniqrow	7208437	8659643	7220730
diverse	randomized	31	251	unitig	48883941	83244086	48982738
diverse	randomized	31	25	kmer	214741448	3223809191	227226490
diverse	randomized	31	25	uniqrow	637915	2089121	683308
diverse	randomized	31	25	unitig	4629632	38989777	5128810
diverse	randomized	31	2	kmer	6545478	3015613221	13090956
diverse	randomized	31	2	uniqrow	64094	1515300	128188
diverse	randomized	31	2	unitig	379326	34739471	758652
diverse	randomized	31	398	kmer	3160710557	6169778300	3167106782
diverse	randomized	31	398	uniqrow	10570531	12021737	10573994
diverse	randomized	31	398	unitig	71907714	106267859	72002176
diverse	randomized	31	3	kmer	12261387	3021329130	21029518
diverse	randomized	31	3	uniqrow	65668	1516874	129988
diverse	randomized	31	3	unitig	431260	34791405	816542
diverse	randomized	31	40	kmer	333133327	3342201070	345007290
diverse	randomized	31	40	uniqrow	1081467	2532673	1132674
diverse	randomized	31	40	unitig	7357321	41717466	7871266
diverse	randomized	31	4	kmer	23646718	3032714461	29757154
diverse	randomized	31	4	uniqrow	130166	1581372	131674
diverse	randomized	31	4	unitig	800735	35160880	830892
diverse	randomized	31	631	kmer	5126800691	8135868434	5134650674
diverse	randomized	31	631	uniqrow	16664051	18115257	16718206
diverse	randomized	31	631	unitig	118343692	152703837	118818526
diverse	randomized	31	63	kmer	507823688	3516891431	518092548
diverse	randomized	31	63	uniqrow	1635781	3086987	1686278
diverse	randomized	31	63	unitig	11192947	45553092	11519422
diverse	randomized	31	6	kmer	37567875	3046635618	45899836
diverse	randomized	31	6	uniqrow	137022	1588228	138408
diverse	randomized	31	6	unitig	865667	35225812	901404
diverse	upgma-attotree	31	1000	kmer	6250526235	9259593978	6261372102
diverse	upgma-attotree	31	1000	uniqrow	11812052	13263258	11814820
diverse	upgma-attotree	31	1000	unitig	99585881	133946026	99644564
diverse	upgma-attotree	31	100	kmer	768743188	3777810931	775509214
diverse	upgma-attotree	31	100	uniqrow	1983795	3435001	1986658
diverse	upgma-attotree	31	100	unitig	16207028	50567173	16265794
diverse	upgma-attotree	31	10	kmer	74078490	3083146233	83916128
diverse	upgma-attotree	31	10	uniqrow	224341	1675547	245776
diverse	upgma-attotree	31	10	unitig	1549714	35909859	1651868
diverse	upgma-attotree	31	158	kmer	1199578068	4208645811	1205026832
diverse	upgma-attotree	31	158	uniqrow	2812504	4263710	2815198
diverse	upgma-attotree	31	158	unitig	22486652	56846797	22540424
diverse	upgma-attotree	31	16	kmer	137996449	3147064192	147524514
diverse	upgma-attotree	31	16	uniqrow	410233	1861439	433140
diverse	upgma-attotree	31	16	unitig	3022820	37382965	3111882
diverse	upgma-attotree	31	1	kmer	0	3009067743	0
diverse	upgma-attotree	31	1	uniqrow	0	1451206	0
diverse	upgma-attotree	31	1	unitig	0	34360145	0
diverse	upgma-attotree	31	251	kmer	1878959039	4888026782	1883728670
diverse	upgma-attotree	31	251	uniqrow	4298288	5749494	4300788
diverse	upgma-attotree	31	251	unitig	36250343	70610488	36305438
diverse	upgma-attotree	31	25	kmer	219558846	3228626589	227004862
diverse	upgma-attotree	31	25	uniqrow	632686	2083892	635922
diverse	upgma-attotree	31	25	unitig	4990446	39350591	5072210
diverse	upgma-attotree	31	2	kmer	6545478	3015613221	13090956
diverse	upgma-attotree	31	2	uniqrow	64094	1515300	128188
diverse	upgma-attotree	31	2	unitig	379326	34739471	758652
diverse	upgma-attotree	31	398	kmer	2802077673	5811145416	2811422172
diverse	upgma-attotree	31	398	uniqrow	5920916	7372122	5923748
diverse	upgma-attotree	31	398	unitig	50290256	84650401	50346342
diverse	upgma-attotree	31	3	kmer	14484040	3023551783	21029518
diverse	upgma-attotree	31	3	uniqrow	65894	1517100	129988
diverse	upgma-attotree	31	3	unitig	437216	34797361	816542
diverse	upgma-attotree	31	40	kmer	333359358	3342427101	340052384
diverse	upgma-attotree	31	40	uniqrow	1006010	2457216	1008988
diverse	upgma-attotree	31	40	unitig	7504981	41865126	7564350
diverse	upgma-attotree	31	4	kmer	24040117	3033107860	29756026
diverse	upgma-attotree	31	4	uniqrow	129752	1580958	131326
diverse	upgma-attotree	31	4	unitig	778582	35138727	830516
diverse	upgma-attotree	31	631	kmer	4200551505	7209619248	4206951878
diverse	upgma-attotree	31	631	uniqrow	8197616	9648822	8200190
diverse	upgma-attotree	31	631	unitig	70976312	105336457	71031840
diverse	upgma-attotree	31	63	kmer	501219520	3510287263	507912546
diverse	upgma-attotree	31	63	uniqrow	1363382	2814588	1366360
diverse	upgma-attotree	31	63	unitig	10519079	44879224	10578448
diverse	upgma-attotree	31	6	kmer	40492550	3049560293	45898866
diverse	upgma-attotree	31	6	uniqrow	134992	1586198	138048
diverse	upgma-attotree	31	6	unitig	862178	35222323	901032
diverse	upgma-hamming	31	1000	kmer	6359465676	9368533419	6375173700
diverse	upgma-hamming	31	1000	uniqrow	13235822	14687028	13286544
