experiment	run	real_s	real_s_py	user_s	sys_s	percent_cpu	max_ram_kb	fs_inputs	fs_outputs	exit_code	command	max_ram_kb_alt
final_runs_gisp_nj_k31_N1102_kmer	None	7.40	7.415895	6.79	0.17	None	128844	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_kmer.dists.txt.xz 10_orders/gisp_nj_k31_N1102_kmer.txt --num-rows $( if [ 'kmer' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'kmer' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'kmer' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_nj_k31_N1102_kmer.runs	1311
final_runs_gisp_nj_k31_N1102_uniqrow	None	7.26	7.276389	6.63	0.17	None	129057	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_uniqrow.dists.txt.xz 10_orders/gisp_nj_k31_N1102_uniqrow.txt --num-rows $( if [ 'uniqrow' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'uniqrow' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'uniqrow' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_nj_k31_N1102_uniqrow.runs	1327
final_runs_gisp_nj_k31_N1102_unitig	None	7.24	7.255104	6.64	0.17	None	129597	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_unitig.dists.txt.xz 10_orders/gisp_nj_k31_N1102_unitig.txt --num-rows $( if [ 'unitig' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'unitig' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'unitig' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_nj_k31_N1102_unitig.runs	1327
final_runs_gisp_optimal_k31_N1102_kmer	None	6.04	6.052139	6.14	0.08	None	151142	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_kmer.dists.txt.xz 10_orders/gisp_optimal_k31_N1102_kmer.txt --num-rows $( if [ 'kmer' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'kmer' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'kmer' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_optimal_k31_N1102_kmer.runs	1311
final_runs_gisp_optimal_k31_N1102_uniqrow	None	5.94	5.947513	5.98	0.08	None	152371	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_uniqrow.dists.txt.xz 10_orders/gisp_optimal_k31_N1102_uniqrow.txt --num-rows $( if [ 'uniqrow' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'uniqrow' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'uniqrow' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_optimal_k31_N1102_uniqrow.runs	1311
final_runs_gisp_optimal_k31_N1102_unitig	None	6.00	6.014754	6.05	0.08	None	151503	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_unitig.dists.txt.xz 10_orders/gisp_optimal_k31_N1102_unitig.txt --num-rows $( if [ 'unitig' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'unitig' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'unitig' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_optimal_k31_N1102_unitig.runs	1311
final_runs_gisp_randomized_k31_N1102_kmer	None	7.18	7.211957	6.75	0.14	None	127353	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_kmer.dists.txt.xz 10_orders/gisp_randomized_k31_N1102_kmer.txt --num-rows $( if [ 'kmer' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'kmer' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'kmer' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_randomized_k31_N1102_kmer.runs	1344
final_runs_gisp_randomized_k31_N1102_uniqrow	None	5.90	5.916229	5.98	0.08	None	152895	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_uniqrow.dists.txt.xz 10_orders/gisp_randomized_k31_N1102_uniqrow.txt --num-rows $( if [ 'uniqrow' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'uniqrow' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'uniqrow' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_randomized_k31_N1102_uniqrow.runs	1311
final_runs_gisp_randomized_k31_N1102_unitig	None	5.89	5.904851	5.98	0.08	None	151831	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_unitig.dists.txt.xz 10_orders/gisp_randomized_k31_N1102_unitig.txt --num-rows $( if [ 'unitig' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'unitig' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'unitig' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_randomized_k31_N1102_unitig.runs	1311
final_runs_gisp_upgma_k31_N1102_kmer	None	7.14	7.160889	6.68	0.14	None	128713	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_kmer.dists.txt.xz 10_orders/gisp_upgma_k31_N1102_kmer.txt --num-rows $( if [ 'kmer' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'kmer' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'kmer' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_upgma_k31_N1102_kmer.runs	1344
final_runs_gisp_upgma_k31_N1102_uniqrow	None	7.11	7.153808	6.64	0.14	None	129679	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_uniqrow.dists.txt.xz 10_orders/gisp_upgma_k31_N1102_uniqrow.txt --num-rows $( if [ 'uniqrow' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'uniqrow' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'uniqrow' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_upgma_k31_N1102_uniqrow.runs	1327
final_runs_gisp_upgma_k31_N1102_unitig	None	7.10	7.141226	6.62	0.13	None	128205	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_unitig.dists.txt.xz 10_orders/gisp_upgma_k31_N1102_unitig.txt --num-rows $( if [ 'unitig' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'unitig' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'unitig' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_upgma_k31_N1102_unitig.runs	1311
final_runs_gisp_worst_k31_N1102_kmer	None	5.84	5.851172	5.94	0.08	None	150864	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_kmer.dists.txt.xz 10_orders/gisp_worst_k31_N1102_kmer.txt --num-rows $( if [ 'kmer' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'kmer' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'kmer' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_worst_k31_N1102_kmer.runs	1311
final_runs_gisp_worst_k31_N1102_uniqrow	None	6.06	6.0742	6.05	0.10	None	151372	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_uniqrow.dists.txt.xz 10_orders/gisp_worst_k31_N1102_uniqrow.txt --num-rows $( if [ 'uniqrow' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'uniqrow' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'uniqrow' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_worst_k31_N1102_uniqrow.runs	1327
final_runs_gisp_worst_k31_N1102_unitig	None	5.95	5.96398	6.02	0.08	None	149422	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_unitig.dists.txt.xz 10_orders/gisp_worst_k31_N1102_unitig.txt --num-rows $( if [ 'unitig' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'unitig' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'unitig' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_worst_k31_N1102_unitig.runs	1311
