dataset	method	k	N	type	n_bit_changes	n_runs	n_cylinder_runs
diverse	nj-hamming	15	1000	uniqrow	4519036001	4792835914	4522094988
diverse	nj-hamming	15	1000	unitig	5141969549	5602193188	5145556932
diverse	nj-hamming	17	1000	kmer	5782056733	7593724177	5784721140
diverse	nj-hamming	17	1000	uniqrow	1526929973	1672382280	1527491966
diverse	nj-hamming	17	1000	unitig	4524959444	5759424419	4527743770
diverse	nj-hamming	19	1000	kmer	5955097271	8537625136	5959070212
diverse	nj-hamming	19	1000	uniqrow	277559168	308964715	277648636
diverse	nj-hamming	19	1000	unitig	1699638670	2278919514	1700394958
diverse	nj-hamming	20	1000	kmer	6000296740	8729351294	6002404294
diverse	nj-hamming	20	1000	uniqrow	130289945	145547876	130317774
diverse	nj-hamming	20	1000	unitig	926782380	1251251605	927024750
diverse	nj-hamming	22	1000	kmer	6062165785	8911537075	6067296488
diverse	nj-hamming	22	1000	uniqrow	48013306	53591455	48018556
diverse	nj-hamming	22	1000	unitig	317079733	425323948	317117038
diverse	nj-hamming	23	1000	kmer	6090135408	8968889517	6094452826
diverse	nj-hamming	23	1000	uniqrow	40000639	44572629	40004868
diverse	nj-hamming	23	1000	unitig	238284537	316941171	238383364
diverse	nj-hamming	24	1000	kmer	6111704984	9014113828	6120435030
diverse	nj-hamming	24	1000	uniqrow	27776823	31031635	27783922
diverse	nj-hamming	24	1000	unitig	183994340	246054182	184005156
diverse	nj-hamming	25	1000	kmer	6136241144	9057765763	6143042160
diverse	nj-hamming	25	1000	uniqrow	25938431	28959779	25944294
diverse	nj-hamming	25	1000	unitig	162879911	216479604	162917060
diverse	nj-hamming	26	1000	kmer	6161493281	9100533665	6165095556
diverse	nj-hamming	26	1000	uniqrow	23938321	26731891	23943454
diverse	nj-hamming	26	1000	unitig	151498273	201269778	151532962
diverse	nj-hamming	27	1000	kmer	6181204573	9136776277	6186775052
diverse	nj-hamming	27	1000	uniqrow	17660027	19781390	17661542
diverse	nj-hamming	27	1000	unitig	131590967	176525961	131606368
diverse	nj-hamming	28	1000	kmer	6198225923	9168305175	6206400776
diverse	nj-hamming	28	1000	uniqrow	16958881	18990947	16962002
diverse	nj-hamming	28	1000	unitig	123269245	164776351	123272836
diverse	nj-hamming	29	1000	kmer	6213175625	9197058897	6225605392
diverse	nj-hamming	29	1000	uniqrow	15925599	17840788	15927790
diverse	nj-hamming	29	1000	unitig	117860657	157636170	117871302
diverse	nj-hamming	30	1000	kmer	6238733397	9235912773	6243657608
diverse	nj-hamming	30	1000	uniqrow	12157151	13657009	12159428
diverse	nj-hamming	30	1000	unitig	105137965	141849489	105158550
diverse	nj-hamming	31	1000	kmer	6256867026	9265934769	6260348500
diverse	nj-hamming	31	1000	uniqrow	11798160	13249363	11798874
diverse	nj-hamming	31	1000	unitig	99602259	133962378	99611468
diverse	nj-hamming	6	1000	kmer	56	2136	58
diverse	nj-hamming	6	1000	uniqrow	42	62	44
diverse	nj-hamming	6	1000	unitig	56	2136	58
diverse	nj-hamming	7	1000	kmer	5712	13904	5714
diverse	nj-hamming	7	1000	uniqrow	4078	4711	4078
diverse	nj-hamming	7	1000	unitig	5712	13904	5714
diverse	nj-hamming	8	1000	kmer	244084	276980	244086
diverse	nj-hamming	8	1000	uniqrow	224314	238863	224316
diverse	nj-hamming	8	1000	unitig	244084	276980	244086
diverse	optimal	10	1000	kmer	66816149	67340949	67049918
diverse	optimal	10	1000	uniqrow	66815632	67340038	67049244
diverse	optimal	10	1000	unitig	66816193	67340993	67049962
diverse	optimal	11	1000	kmer	467094971	469192123	468095648
diverse	optimal	11	1000	uniqrow	467095035	469192162	468095712
