experiment	run	real_s	real_s_py	user_s	sys_s	percent_cpu	max_ram_kb	fs_inputs	fs_outputs	exit_code	command	max_ram_kb_alt
final_runs_gisp_nj_k31_N1102_unitig	None	7.67	7.683191	6.73	0.16	None	148374	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_unitig.dists.txt.xz 10_orders/gisp_nj_k31_N1102_unitig.txt --num-rows $( if [ 'unitig' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'unitig' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'unitig' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_nj_k31_N1102_unitig.runs	1327
final_runs_gisp_optimal_k31_N1102_kmer	None	6.28	6.295515	6.19	0.12	None	121537	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_kmer.dists.txt.xz 10_orders/gisp_optimal_k31_N1102_kmer.txt --num-rows $( if [ 'kmer' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'kmer' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'kmer' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_optimal_k31_N1102_kmer.runs	1311
final_runs_gisp_optimal_k31_N1102_uniqrow	None	6.28	6.296355	6.15	0.12	None	131777	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_uniqrow.dists.txt.xz 10_orders/gisp_optimal_k31_N1102_uniqrow.txt --num-rows $( if [ 'uniqrow' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'uniqrow' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'uniqrow' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_optimal_k31_N1102_uniqrow.runs	1327
final_runs_gisp_optimal_k31_N1102_unitig	None	6.13	6.136273	6.10	0.10	None	151699	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_unitig.dists.txt.xz 10_orders/gisp_optimal_k31_N1102_unitig.txt --num-rows $( if [ 'unitig' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'unitig' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'unitig' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_optimal_k31_N1102_unitig.runs	1327
final_runs_gisp_randomized_k31_N1102_kmer	None	5.97	5.985726	6.04	0.09	None	152912	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_kmer.dists.txt.xz 10_orders/gisp_randomized_k31_N1102_kmer.txt --num-rows $( if [ 'kmer' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'kmer' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'kmer' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_randomized_k31_N1102_kmer.runs	1311
final_runs_gisp_randomized_k31_N1102_uniqrow	None	7.74	7.754002	6.81	0.15	None	149635	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_uniqrow.dists.txt.xz 10_orders/gisp_randomized_k31_N1102_uniqrow.txt --num-rows $( if [ 'uniqrow' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'uniqrow' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'uniqrow' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_randomized_k31_N1102_uniqrow.runs	1311
final_runs_gisp_randomized_k31_N1102_unitig	None	7.52	7.542597	6.72	0.14	None	149389	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_unitig.dists.txt.xz 10_orders/gisp_randomized_k31_N1102_unitig.txt --num-rows $( if [ 'unitig' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'unitig' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'unitig' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_randomized_k31_N1102_unitig.runs	1327
final_runs_gisp_upgma_k31_N1102_kmer	None	7.54	7.556939	6.74	0.15	None	148701	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_kmer.dists.txt.xz 10_orders/gisp_upgma_k31_N1102_kmer.txt --num-rows $( if [ 'kmer' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'kmer' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'kmer' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_upgma_k31_N1102_kmer.runs	1327
final_runs_gisp_upgma_k31_N1102_uniqrow	None	7.72	7.734102	6.68	0.15	None	148226	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_uniqrow.dists.txt.xz 10_orders/gisp_upgma_k31_N1102_uniqrow.txt --num-rows $( if [ 'uniqrow' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'uniqrow' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'uniqrow' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_upgma_k31_N1102_uniqrow.runs	1311
final_runs_gisp_upgma_k31_N1102_unitig	None	7.49	7.506838	6.64	0.14	None	148357	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_unitig.dists.txt.xz 10_orders/gisp_upgma_k31_N1102_unitig.txt --num-rows $( if [ 'unitig' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'unitig' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'unitig' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_upgma_k31_N1102_unitig.runs	1327
final_runs_gisp_worst_k31_N1102_kmer	None	6.07	6.080033	6.04	0.12	None	151716	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_kmer.dists.txt.xz 10_orders/gisp_worst_k31_N1102_kmer.txt --num-rows $( if [ 'kmer' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'kmer' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'kmer' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_worst_k31_N1102_kmer.runs	1327
final_runs_gisp_worst_k31_N1102_uniqrow	None	5.98	5.994735	5.97	0.09	None	150487	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_uniqrow.dists.txt.xz 10_orders/gisp_worst_k31_N1102_uniqrow.txt --num-rows $( if [ 'uniqrow' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'uniqrow' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'uniqrow' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_worst_k31_N1102_uniqrow.runs	1311
final_runs_gisp_worst_k31_N1102_unitig	None	6.05	6.064688	6.04	0.09	None	150847	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_unitig.dists.txt.xz 10_orders/gisp_worst_k31_N1102_unitig.txt --num-rows $( if [ 'unitig' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'unitig' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'unitig' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_worst_k31_N1102_unitig.runs	1311
