experiment	run	real_s	real_s_py	user_s	sys_s	percent_cpu	max_ram_kb	fs_inputs	fs_outputs	exit_code	command	max_ram_kb_alt
fulgor_index_gisp_k31	None	19.27	19.277068	149.93	3.55	None	1856078	None	None	0	fulgor build -l 01_datasets/gisp.txt -o 04_indices/gisp_k31 -k 31 -m 20 -d 04_indices/gisp_k31_tmp -g 12 -t 8 --verbose --check	1311
fulgor_dump_gisp_k31	None	2.88	2.888937	2.55	0.24	None	15991	None	None	0	fulgor dump -i 04_indices/gisp_k31.fur	1311
build_dists_gisp_k31	None	8.10	8.114443	50.81	1.53	None	1788232	None	None	0	./_build_dists 05_dumps gisp 31 07_ham_dists 10	1295
tsp_export_gisp_k31_N1102_kmer	None	17.93	17.947237	16.45	0.33	None	308478	None	None	0	./_export_tsp_instance.py 07_ham_dists/gisp_k31_kmer.dists.txt.xz 03_selection/gisp.N1102.txt -o 08_tsp/gisp_optimal_k31_N1102_kmer/instance.tsp -w 08_tsp/gisp_worst_k31_N1102_kmer/instance.tsp	1327
tsp_export_gisp_k31_N1102_uniqrow	None	17.67	17.683904	16.24	0.39	None	283427	None	None	0	./_export_tsp_instance.py 07_ham_dists/gisp_k31_uniqrow.dists.txt.xz 03_selection/gisp.N1102.txt -o 08_tsp/gisp_optimal_k31_N1102_uniqrow/instance.tsp -w 08_tsp/gisp_worst_k31_N1102_uniqrow/instance.tsp	1311
tsp_export_gisp_k31_N1102_unitig	None	16.49	16.504254	15.58	0.28	None	310575	None	None	0	./_export_tsp_instance.py 07_ham_dists/gisp_k31_unitig.dists.txt.xz 03_selection/gisp.N1102.txt -o 08_tsp/gisp_optimal_k31_N1102_unitig/instance.tsp -w 08_tsp/gisp_worst_k31_N1102_unitig/instance.tsp	1311
concorde_optimal_N1102_kmer	None	7.68	7.696413	7.31	0.30	None	40583	None	None	0	'/Users/karel/git/ism-supplement/bin/concorde' -o instance.sol instance.tsp 2>&1 | tee log.txt	1295
concorde_optimal_N1102_uniqrow	None	9.30	9.315095	8.92	0.30	None	43418	None	None	0	'/Users/karel/git/ism-supplement/bin/concorde' -o instance.sol instance.tsp 2>&1 | tee log.txt	1295
concorde_optimal_N1102_unitig	None	39.01	39.020962	37.31	1.26	None	54084	None	None	0	'/Users/karel/git/ism-supplement/bin/concorde' -o instance.sol instance.tsp 2>&1 | tee log.txt	1295
concorde_worst_N1102_kmer	None	195.78	195.787231	194.59	0.42	None	43500	None	None	0	'/Users/karel/git/ism-supplement/bin/concorde' -o instance.sol instance.tsp 2>&1 | tee log.txt	1295
concorde_worst_N1102_uniqrow	None	151.78	151.812339	150.13	0.30	None	35029	None	None	0	'/Users/karel/git/ism-supplement/bin/concorde' -o instance.sol instance.tsp 2>&1 | tee log.txt	1295
concorde_worst_N1102_unitig	None	99.98	99.987966	99.29	0.18	None	34193	None	None	0	'/Users/karel/git/ism-supplement/bin/concorde' -o instance.sol instance.tsp 2>&1 | tee log.txt	1295
attotree_gisp_nj_N1102	None	12.92	12.935775	95.20	1.15	None	129843	None	None	0	attotree -t 8 -m nj -L 03_selection/gisp.N1102.txt -V > 09_trees/gisp_nj_N1102.nw	1311
attotree_gisp_upgma_N1102	None	14.82	14.836808	103.08	1.48	None	158646	None	None	0	attotree -t 8 -m upgma -L 03_selection/gisp.N1102.txt -V > 09_trees/gisp_upgma_N1102.nw	1311
tree_order_gisp_nj_k31_N1102_kmer	None	0.04	0.053803	0.02	0.01	None	12812	None	None	0	./_tree_leaf_order.py 09_trees/gisp_nj_N1102.nw > 10_orders/gisp_nj_k31_N1102_kmer.txt	1278
tree_order_gisp_nj_k31_N1102_uniqrow	None	0.03	0.043675	0.01	0.00	None	12812	None	None	0	./_tree_leaf_order.py 09_trees/gisp_nj_N1102.nw > 10_orders/gisp_nj_k31_N1102_uniqrow.txt	1311
tree_order_gisp_nj_k31_N1102_unitig	None	0.03	0.043638	0.01	0.01	None	12812	None	None	0	./_tree_leaf_order.py 09_trees/gisp_nj_N1102.nw > 10_orders/gisp_nj_k31_N1102_unitig.txt	1295
tsp_order_gisp_optimal_k31_N1102_kmer	None	0.08	0.096711	0.05	0.02	None	21053	None	None	0	./_extract_path_from_tsp_solution.py 08_tsp/gisp_optimal_k31_N1102_kmer/instance.tsp 08_tsp/gisp_optimal_k31_N1102_kmer/instance.sol > 10_orders/gisp_optimal_k31_N1102_kmer.txt	1344
tsp_order_gisp_optimal_k31_N1102_uniqrow	None	0.08	0.088577	0.05	0.01	None	20873	None	None	0	./_extract_path_from_tsp_solution.py 08_tsp/gisp_optimal_k31_N1102_uniqrow/instance.tsp 08_tsp/gisp_optimal_k31_N1102_uniqrow/instance.sol > 10_orders/gisp_optimal_k31_N1102_uniqrow.txt	1311
tsp_order_gisp_optimal_k31_N1102_unitig	None	0.09	0.107733	0.05	0.01	None	20529	None	None	0	./_extract_path_from_tsp_solution.py 08_tsp/gisp_optimal_k31_N1102_unitig/instance.tsp 08_tsp/gisp_optimal_k31_N1102_unitig/instance.sol > 10_orders/gisp_optimal_k31_N1102_unitig.txt	1327
tree_order_gisp_upgma_k31_N1102_kmer	None	0.03	0.041954	0.01	0.01	None	12763	None	None	0	./_tree_leaf_order.py 09_trees/gisp_upgma_N1102.nw > 10_orders/gisp_upgma_k31_N1102_kmer.txt	1295
tree_order_gisp_upgma_k31_N1102_uniqrow	None	0.03	0.04253	0.02	0.01	None	12878	None	None	0	./_tree_leaf_order.py 09_trees/gisp_upgma_N1102.nw > 10_orders/gisp_upgma_k31_N1102_uniqrow.txt	1295
tree_order_gisp_upgma_k31_N1102_unitig	None	0.03	0.04508	0.01	0.01	None	12599	None	None	0	./_tree_leaf_order.py 09_trees/gisp_upgma_N1102.nw > 10_orders/gisp_upgma_k31_N1102_unitig.txt	1295
tsp_order_gisp_worst_k31_N1102_kmer	None	0.09	0.10557	0.05	0.02	None	20431	None	None	0	./_extract_path_from_tsp_solution.py 08_tsp/gisp_worst_k31_N1102_kmer/instance.tsp 08_tsp/gisp_worst_k31_N1102_kmer/instance.sol > 10_orders/gisp_worst_k31_N1102_kmer.txt	1311
tsp_order_gisp_worst_k31_N1102_uniqrow	None	0.09	0.09992	0.05	0.01	None	20644	None	None	0	./_extract_path_from_tsp_solution.py 08_tsp/gisp_worst_k31_N1102_uniqrow/instance.tsp 08_tsp/gisp_worst_k31_N1102_uniqrow/instance.sol > 10_orders/gisp_worst_k31_N1102_uniqrow.txt	1327
tsp_order_gisp_worst_k31_N1102_unitig	None	0.09	0.100026	0.05	0.01	None	20496	None	None	0	./_extract_path_from_tsp_solution.py 08_tsp/gisp_worst_k31_N1102_unitig/instance.tsp 08_tsp/gisp_worst_k31_N1102_unitig/instance.sol > 10_orders/gisp_worst_k31_N1102_unitig.txt	1311
final_runs_gisp_nj_k31_N1102_kmer	None	6.81	6.826338	6.43	0.16	None	94257	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_kmer.dists.txt.xz 10_orders/gisp_nj_k31_N1102_kmer.txt --num-rows $( if [ 'kmer' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'kmer' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'kmer' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_nj_k31_N1102_kmer.runs	1311
final_runs_gisp_nj_k31_N1102_uniqrow	None	7.83	7.846195	6.81	0.16	None	148750	None	None	0	./_evaluate_order_nb_runs.py 07_ham_dists/gisp_k31_uniqrow.dists.txt.xz 10_orders/gisp_nj_k31_N1102_uniqrow.txt --num-rows $( if [ 'uniqrow' = 'unitig' ]; then grep '^num_unitigs=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'uniqrow' = 'kmer' ]; then grep '^num_kmers=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; elif [ 'uniqrow' = 'uniqrow' ]; then grep '^num_color_sets=' 05_dumps/gisp_k31.metadata.txt | cut -d= -f2; fi ) --out 11_runs/gisp_nj_k31_N1102_uniqrow.runs	1311
