dataset	method	k	N	type	n_bit_changes	n_runs	n_cylinder_runs
ngono-spneumo	optimal	23	1000	uniqrow	6477487	6799283	6635556
ngono-spneumo	optimal	23	1000	unitig	8069708	8691904	8328990
ngono-spneumo	optimal	25	1000	kmer	95273157	107091651	99454586
ngono-spneumo	optimal	25	1000	uniqrow	6613350	6940638	6771560
ngono-spneumo	optimal	25	1000	unitig	8130499	8745921	8381934
ngono-spneumo	optimal	27	1000	kmer	99242548	111482384	103428450
ngono-spneumo	optimal	27	1000	uniqrow	6664099	6992779	6822208
ngono-spneumo	optimal	27	1000	unitig	8126074	8733666	8370678
ngono-spneumo	optimal	29	1000	kmer	103096045	115753593	107286022
ngono-spneumo	optimal	29	1000	uniqrow	6868965	7206296	7029516
ngono-spneumo	optimal	29	1000	unitig	8296020	8906074	8537638
ngono-spneumo	optimal	31	1000	kmer	106879303	119952194	111072990
ngono-spneumo	optimal	31	1000	uniqrow	6969693	7310504	7131020
ngono-spneumo	optimal	31	1000	unitig	8344983	8950754	8590302
ngono-spneumo	randomized	11	1000	kmer	547848027	549647376	548007680
ngono-spneumo	randomized	11	1000	uniqrow	181031293	181615826	181154254
ngono-spneumo	randomized	11	1000	unitig	544356654	546142190	544515334
ngono-spneumo	randomized	13	1000	kmer	1902684939	1909574607	1903260372
ngono-spneumo	randomized	13	1000	uniqrow	225697293	226502615	225861780
ngono-spneumo	randomized	13	1000	unitig	1345799341	1350482899	1346215596
ngono-spneumo	randomized	15	1000	kmer	2297570065	2306886459	2298294652
ngono-spneumo	randomized	15	1000	uniqrow	113629182	114014107	113704274
ngono-spneumo	randomized	15	1000	unitig	491954439	493805714	492127084
ngono-spneumo	randomized	17	1000	kmer	2360837477	2370881839	2361616806
ngono-spneumo	randomized	17	1000	uniqrow	97467708	97780698	97529200
ngono-spneumo	randomized	17	1000	unitig	213283143	214081715	213370586
ngono-spneumo	randomized	19	1000	kmer	2384568618	2395090823	2385390392
ngono-spneumo	randomized	19	1000	uniqrow	97202553	97512953	97263774
ngono-spneumo	randomized	19	1000	unitig	174639111	175294629	174716460
ngono-spneumo	randomized	21	1000	kmer	2402029689	2412993931	2402891176
ngono-spneumo	randomized	21	1000	uniqrow	97575398	97887255	97636936
ngono-spneumo	randomized	21	1000	unitig	164545481	165172088	164621310
ngono-spneumo	randomized	23	1000	kmer	2417162693	2428556539	2418062028
ngono-spneumo	randomized	23	1000	uniqrow	100014886	100336682	100078602
ngono-spneumo	randomized	23	1000	unitig	161470132	162092328	161547264
ngono-spneumo	randomized	25	1000	kmer	2431343713	2443162207	2432279660
ngono-spneumo	randomized	25	1000	uniqrow	101057978	101385266	101122620
ngono-spneumo	randomized	25	1000	unitig	157583654	158199076	157660918
ngono-spneumo	randomized	27	1000	kmer	2444938753	2457178589	2445910242
ngono-spneumo	randomized	27	1000	uniqrow	101204169	101532849	101269026
ngono-spneumo	randomized	27	1000	unitig	153958775	154566367	154035754
ngono-spneumo	randomized	29	1000	kmer	2458010799	2470668347	2459016598
ngono-spneumo	randomized	29	1000	uniqrow	103024369	103361700	103091096
ngono-spneumo	randomized	29	1000	unitig	152925603	153535657	153003946
ngono-spneumo	randomized	31	1000	kmer	2470663979	2483736870	2471703168
ngono-spneumo	randomized	31	1000	uniqrow	103655340	103996151	103722798
ngono-spneumo	randomized	31	1000	unitig	150204337	150810108	150282842
ngono-spneumo	upgma-attotree	11	1000	kmer	18634610	20433959	19592542
ngono-spneumo	upgma-attotree	11	1000	uniqrow	13368703	13953236	13647080
ngono-spneumo	upgma-attotree	11	1000	unitig	18510811	20296347	19462804
ngono-spneumo	upgma-attotree	13	1000	kmer	63618589	70508257	66887308
ngono-spneumo	upgma-attotree	13	1000	uniqrow	17374684	18180006	17712926
ngono-spneumo	upgma-attotree	13	1000	unitig	45222239	49905797	47537944
ngono-spneumo	upgma-attotree	15	1000	kmer	80289260	89605654	84208236
ngono-spneumo	upgma-attotree	15	1000	uniqrow	8111679	8496604	8286462
ngono-spneumo	upgma-attotree	15	1000	unitig	18704410	20555685	19540962
ngono-spneumo	upgma-attotree	17	1000	kmer	86572153	96616515	90577798
ngono-spneumo	upgma-attotree	17	1000	uniqrow	6750619	7063609	6902218
ngono-spneumo	upgma-attotree	17	1000	unitig	9837471	10636043	10193546
ngono-spneumo	upgma-attotree	19	1000	kmer	91453342	101975547	95479096
ngono-spneumo	upgma-attotree	19	1000	uniqrow	6758505	7068905	6909756
ngono-spneumo	upgma-attotree	19	1000	unitig	8789319	9444837	9077872
ngono-spneumo	upgma-attotree	21	1000	kmer	96054208	107018450	100089734
ngono-spneumo	upgma-attotree	21	1000	uniqrow	6816724	7128581	6968490
ngono-spneumo	upgma-attotree	21	1000	unitig	8639182	9265789	8909402
ngono-spneumo	upgma-attotree	23	1000	kmer	100465021	111858867	104506850
ngono-spneumo	upgma-attotree	23	1000	uniqrow	7071230	7393026	7226304
ngono-spneumo	upgma-attotree	23	1000	unitig	8797954	9420150	9061484
ngono-spneumo	upgma-attotree	25	1000	kmer	104757831	116576325	108804812
ngono-spneumo	upgma-attotree	25	1000	uniqrow	7214287	7541575	7370790
ngono-spneumo	upgma-attotree	25	1000	unitig	8856943	9472365	9112942
ngono-spneumo	upgma-attotree	27	1000	kmer	108946918	121186754	112998556
ngono-spneumo	upgma-attotree	27	1000	uniqrow	7264131	7592811	7420872
ngono-spneumo	upgma-attotree	27	1000	unitig	8844718	9452310	9094152
ngono-spneumo	upgma-attotree	29	1000	kmer	113022179	125679727	117078148
ngono-spneumo	upgma-attotree	29	1000	uniqrow	7483534	7820865	7642760
ngono-spneumo	upgma-attotree	29	1000	unitig	9024630	9634684	9271370
ngono-spneumo	upgma-attotree	31	1000	kmer	117015218	130088109	121075202
